--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF| SPE|SATK|SDEF|ABILITY1    |ABILITY2    |ITEM
  1|BULBASAUR |GRASS/POISON     |  45|  49|  49|  45|  65|  65|CUERPO PURO |(?)         |MT05 (100%)
  2|IVYSAUR   |GRASS/POISON     |  60|  62|  63|  60|  80|  80|LLOVIZNA    |SOMBRATRAMPA|MÁS PS (common), ESC. CORAZÓN (rare)
  3|VENUSAUR  |GRASS/POISON     |  80|  82|  83|  80| 100| 100|BUCLE AIRE  |(?)         |
  4|CHARMANDER|FIRE             |  39|  52|  43|  65|  60|  50|VELO AGUA   |LLOVIZNA    |ANTIDERRETIR (common), POKé MUÑECO (rare)
  5|CHARMELEON|FIRE             |  58|  64|  58|  80|  80|  65|IMÁN        |(?)         |
  6|CHARIZARD |FIRE/FLYING      |  78|  84|  78| 100| 109|  85|ESCUDO MAGMA|GRAN ENCANTO|
  7|SQUIRTLE  |WATER            |  44|  48|  65|  43|  50|  64|VELO ARENA  |(?)         |
  8|WARTORTLE |WATER            |  59|  63|  80|  58|  65|  80|MUDAR       |PRESIÓN     |
  9|BLASTOISE |WATER            |  79|  83| 100|  78|  85| 105|MENOS       |INSOMNIO    |
 10|CATERPIE  |BUG              |  45|  30|  35|  45|  20|  20|BUCLE AIRE  |(?)         |MT05 (common), MT40 (rare)
 11|METAPOD   |BUG              |  50|  20|  55|  30|  25|  25|PRESIÓN     |(?)         |BAYA ZREZA (rare)
 12|BUTTERFREE|BUG/FLYING       |  60|  45|  50|  70|  80|  80|IMÁN        |(?)         |
 13|WEEDLE    |BUG/POISON       |  40|  35|  30|  50|  20|  20|FUGA        |PUNTO TÓXICO|
 14|KAKUNA    |BUG/POISON       |  45|  25|  50|  35|  25|  25|POTENCIA    |CHORRO ARENA|
 15|BEEDRILL  |BUG/POISON       |  65|  80|  40|  75|  45|  80|VISCOSIDAD  |(?)         |MT26 (common), SAFARI BALL (rare)
 16|PIDGEY    |NORMAL/FLYING    |  40|  45|  40|  56|  35|  35|ESPÍR. VITAL|MADRUGAR    |
 17|PIDGEOTTO |NORMAL/FLYING    |  63|  60|  55|  71|  50|  50|SOMBRATRAMPA|(?)         |MT03 (common), HIERBA REV. (rare)
 18|PIDGEOT   |NORMAL/FLYING    |  83|  80|  75|  91|  70|  70|ABSOR. AGUA |SOMBRATRAMPA|
 19|RATTATA   |NORMAL           |  30|  56|  35|  72|  25|  35|GRAN ENCANTO|(?)         |CINTA FOCUS (rare)
 20|RATICATE  |NORMAL           |  55|  81|  60|  97|  50|  70|ESCAMA ESP. |(?)         |
 21|SPEAROW   |NORMAL/FLYING    |  40|  60|  30|  70|  31|  31|HUMEDAD     |(?)         |
 22|FEAROW    |NORMAL/FLYING    |  65|  90|  65| 100|  61|  61|VELO ARENA  |MUDAR       |MINI SETA (rare)
 23|EKANS     |POISON           |  35|  60|  44|  55|  40|  54|POTENCIA    |(?)         |MT49 (common), BUCEO BALL (rare)
 24|ARBOK     |POISON           |  60|  85|  69|  80|  65|  79|ELEC. ESTÁT.|ENJAMBRE    |HIPERPOCIÓN (rare)
 25|PIKACHU   |ELECTRIC         |  35|  55|  30|  90|  50|  40|MENOS       |LLOVIZNA    |PIEDRA DURA (common)
 26|RAICHU    |ELECTRIC         |  60|  90|  55| 100|  90|  80|HEDOR       |(?)         |POLVO PLATA (100%)
 27|SANDSHREW |GROUND           |  50|  75|  85|  40|  20|  30|DICHA       |CAMBIO COLOR|
 28|SANDSLASH |GROUND           |  75| 100| 110|  65|  45|  55|CABEZA ROCA |(?)         |
 29|NIDORAN♀  |POISON           |  55|  47|  52|  41|  40|  40|RASTRO      |(?)         |ELIXIR MÁX. (common), PEPITA (rare)
 30|NIDORINA  |POISON           |  70|  62|  67|  56|  55|  55|INSONORIZAR |(?)         |PROTEÍNA (rare)
 31|NIDOQUEEN |POISON/GROUND    |  90|  82|  87|  76|  75|  85|CORTE FUERTE|(?)         |MT18 (common), REPARTIR EXP (rare)
 32|NIDORAN♂  |POISON           |  46|  57|  40|  50|  40|  40|CURA LLUVIA |INTIMIDACIÓN|
 33|NIDORINO  |POISON           |  61|  72|  57|  65|  55|  55|RASTRO      |CURA LLUVIA |BAYA MELOC (rare)
 34|NIDOKING  |POISON/GROUND    |  81|  92|  77|  85|  85|  75|CUERPO PURO |(?)         |SETA GRANDE (common), PIEDRA HOJA (rare)
 35|CLEFAIRY  |NORMAL           |  70|  45|  48|  35|  60|  65|IMPULSO     |(?)         |
 36|CLEFABLE  |NORMAL           |  95|  70|  73|  60|  85|  90|MUDAR       |(?)         |PIEDRA LUNAR (common)
 37|VULPIX    |FIRE             |  38|  41|  40|  65|  50|  65|TORRENTE    |(?)         |MT28 (100%)
 38|NINETALES |FIRE             |  73|  76|  75| 100|  81| 100|LEVITACIÓN  |(?)         |MÁS PP (common), MALLA BALL (rare)
 39|JIGGLYPUFF|NORMAL           | 115|  45|  20|  20|  45|  25|ABSOR. FUEGO|HEDOR       |BAYA ATANIA (common), SAL CARDUMEN (rare)
 40|WIGGLYTUFF|NORMAL           | 140|  70|  45|  45|  75|  50|ACLIMATACIÓN|MADRUGAR    |SAL CARDUMEN (common)
 41|ZUBAT     |POISON/FLYING    |  40|  45|  35|  55|  30|  40|INTIMIDACIÓN|NADO RÁPIDO |
 42|GOLBAT    |POISON/FLYING    |  75|  80|  70|  90|  65|  75|POLVO ESCUDO|(?)         |MT15 (common)
 43|ODDISH    |GRASS/POISON     |  45|  50|  55|  30|  75|  65|AUSENTE     |(?)         |MT47 (100%)
 44|GLOOM     |GRASS/POISON     |  60|  65|  70|  40|  85|  75|CHORRO ARENA|(?)         |
 45|VILEPLUME |GRASS/POISON     |  75|  80|  85|  50| 100|  90|CLOROFILA   |(?)         |
 46|PARAS     |BUG/GRASS        |  35|  70|  55|  25|  45|  55|INMUNIDAD   |INTIMIDACIÓN|
 47|PARASECT  |BUG/GRASS        |  60|  95|  80|  30|  60|  80|MÁS         |CORTE FUERTE|CUCHARA TOR (rare)
 48|VENONAT   |BUG/POISON       |  60|  55|  50|  45|  40|  55|ELEC. ESTÁT.|AUSENTE     |MT24 (common), MEJORA (rare)
 49|VENOMOTH  |BUG/POISON       |  70|  65|  60|  90|  90|  75|VISTA LINCE |(?)         |
 50|DIGLETT   |GROUND           |  10|  55|  25|  95|  35|  45|ESCAMA ESP. |(?)         |
 51|DUGTRIO   |GROUND           |  35|  80|  50| 120|  50|  70|MAR LLAMAS  |HEDOR       |
 52|MEOWTH    |NORMAL           |  40|  45|  35|  90|  40|  40|NADO RÁPIDO |TORRENTE    |AGUA FRESCA (common), MT17 (rare)
 53|PERSIAN   |NORMAL           |  65|  70|  60| 115|  65|  65|TRAMPA ARENA|CUERPO PURO |
 54|PSYDUCK   |WATER            |  50|  52|  48|  55|  65|  50|INSOMNIO    |DESPISTE    |MT09 (rare)
 55|GOLDUCK   |WATER            |  80|  82|  78|  85|  95|  80|VENTOSAS    |(?)         |INCIE. MAR. (common), CINT. NEGRO (rare)
 56|MANKEY    |FIGHTING         |  40|  80|  35|  70|  35|  45|TORRENTE    |NADO RÁPIDO |COLA SKITTY (rare)
 57|PRIMEAPE  |FIGHTING         |  65| 105|  60|  95|  60|  70|ARMAD. BAT. |ROBUSTEZ    |
 58|GROWLITHE |FIRE             |  55|  70|  45|  60|  70|  50|OJOCOMPUESTO|MUDAR       |MT09 (100%)
 59|ARCANINE  |FIRE             |  90| 110|  80|  95| 100|  80|FLEXIBILIDAD|DESPISTE    |AGUA MÍSTICA (100%)
 60|POLIWAG   |WATER            |  40|  50|  40|  90|  40|  40|SEQUÍA      |(?)         |
 61|POLIWHIRL |WATER            |  65|  65|  65|  90|  50|  50|LODO LÍQUIDO|(?)         |
 62|POLIWRATH |WATER/FIGHTING   |  90|  85|  95|  70|  70|  90|CURA LLUVIA |BUCLE AIRE  |MT20 (rare)
 63|ABRA      |PSYCHIC          |  25|  20|  15|  90| 105|  55|LEVITACIÓN  |OJOCOMPUESTO|
 64|KADABRA   |PSYCHIC          |  40|  35|  30| 105| 120|  70|PARARRAYOS  |(?)         |MT39 (common)
 65|ALAKAZAM  |PSYCHIC          |  55|  50|  45| 120| 135|  85|CABEZA ROCA |(?)         |BAYA MELOC (rare)
 66|MACHOP    |FIGHTING         |  70|  80|  50|  35|  35|  35|HUMEDAD     |VISCOSIDAD  |
 67|MACHOKE   |FIGHTING         |  80| 100|  70|  45|  50|  60|VELO ARENA  |(?)         |
 68|MACHAMP   |FIGHTING         |  90| 130|  80|  55|  65|  85|MÁS         |MENOS       |
 69|BELLSPROUT|GRASS/POISON     |  50|  75|  35|  40|  70|  30|LODO LÍQUIDO|RASTRO      |
 70|WEEPINBELL|GRASS/POISON     |  65|  90|  50|  55|  85|  45|TORRENTE    |(?)         |PIEDRA SOLAR (common), MASTER BALL (rare)
 71|VICTREEBEL|GRASS/POISON     |  80| 105|  65|  70| 100|  60|INMUNIDAD   |(?)         |MT14 (100%)
 72|TENTACOOL |WATER/POISON     |  40|  40|  35|  70|  50| 100|IMÁN        |CUERPO PURO |HIERBA REV. (common)
 73|TENTACRUEL|WATER/POISON     |  80|  70|  65| 100|  80| 120|CURA LLUVIA |(?)         |
 74|GEODUDE   |ROCK/GROUND      |  40|  80| 100|  20|  30|  30|OJOCOMPUESTO|(?)         |BAYA ZANAMA (common)
 75|GRAVELER  |ROCK/GROUND      |  55|  95| 115|  35|  45|  45|MÁS         |(?)         |MT19 (rare)
 76|GOLEM     |ROCK/GROUND      |  80| 110| 130|  45|  55|  65|ENTUSIASMO  |MÁS         |DIENTE MAR. (rare)
 77|PONYTA    |FIRE             |  50|  85|  55|  90|  65|  65|FOCO INTERNO|(?)         |
 78|RAPIDASH  |FIRE             |  65| 100|  70| 105|  80|  80|ROBUSTEZ    |(?)         |
 79|SLOWPOKE  |WATER/PSYCHIC    |  90|  65|  65|  15|  40|  40|ILUMINACIÓN |SEBO        |
 80|SLOWBRO   |WATER/PSYCHIC    |  95|  75| 110|  30| 100|  80|MUDAR       |ESPESURA    |
 81|MAGNEMITE |ELECTRIC/STEEL   |  25|  35|  70|  45|  95|  55|NADO RÁPIDO |CABEZA ROCA |
 82|MAGNETON  |ELECTRIC/STEEL   |  50|  60|  95|  70| 120|  70|VISTA LINCE |(?)         |
 83|FARFETCH’D|NORMAL/FLYING    |  52|  65|  55|  60|  58|  62|INSONORIZAR |(?)         |POLVOENERGÍA (common)
 84|DODUO     |NORMAL/FLYING    |  35|  85|  45|  75|  35|  35|ENERGÍA PURA|(?)         |
 85|DODRIO    |NORMAL/FLYING    |  60| 110|  70| 100|  60|  60|ENTUSIASMO  |(?)         |MT21 (rare)
 86|SEEL      |WATER            |  65|  45|  55|  45|  45|  70|MENOS       |(?)         |
 87|DEWGONG   |WATER/ICE        |  90|  70|  80|  70|  70|  95|MÁS         |EFEC. ESPORA|
 88|GRIMER    |POISON           |  80|  80|  50|  25|  40|  50|VISCOSIDAD  |(?)         |MT35 (common), MT17 (rare)
 89|MUK       |POISON           | 105| 105|  75|  50|  65| 100|IMPULSO     |MUDAR       |
 90|SHELLDER  |WATER            |  30|  65| 100|  40|  45|  25|ARMAD. BAT. |LEVITACIÓN  |
 91|CLOYSTER  |WATER/ICE        |  50|  95| 180|  70|  85|  45|CABEZA ROCA |(?)         |
 92|GASTLY    |GHOST/POISON     |  30|  35|  30|  80| 100|  35|RASTRO      |PREDICCIÓN  |MT04 (common)
 93|HAUNTER   |GHOST/POISON     |  45|  50|  45|  95| 115|  55|PREDICCIÓN  |(?)         |GAFAS DE SOL (common)
 94|GENGAR    |GHOST/POISON     |  60|  65|  60| 110| 130|  75|ABSOR. ELEC.|(?)         |
 95|ONIX      |ROCK/GROUND      |  35|  45| 160|  70|  30|  45|CORTE FUERTE|(?)         |
 96|DROWZEE   |PSYCHIC          |  60|  48|  45|  42|  43|  90|TORRENTE    |FUGA        |MT41 (rare)
 97|HYPNO     |PSYCHIC          |  85|  73|  70|  67|  73| 115|CUERPO LLAMA|VISTA LINCE |
 98|KRABBY    |WATER            |  30| 105|  90|  50|  25|  25|PIEL TOSCA  |ARMAD. BAT. |
 99|KINGLER   |WATER            |  55| 130| 115|  75|  50|  50|CORTE FUERTE|(?)         |POL.CURACIÓN (common)
100|VOLTORB   |ELECTRIC         |  40|  30|  50| 100|  55|  55|SOMBRATRAMPA|(?)         |MT50 (rare)
101|ELECTRODE |ELECTRIC         |  60|  50|  70| 140|  80|  80|ACLIMATACIÓN|CUERPO LLAMA|
102|EXEGGCUTE |GRASS/PSYCHIC    |  60|  40|  80|  40|  60|  45|HUMO BLANCO |(?)         |
103|EXEGGUTOR |GRASS/PSYCHIC    |  95|  95|  85|  55| 125|  65|HUMO BLANCO |(?)         |INCIE. MAR. (common)
104|CUBONE    |GROUND           |  50|  50|  95|  35|  40|  50|INMUNIDAD   |ACLIMATACIÓN|MT40 (common), P. AMARILLA (rare)
105|MAROWAK   |GROUND           |  60|  80| 110|  45|  50|  80|ACLIMATACIÓN|INSOMNIO    |
106|HITMONLEE |FIGHTING         |  50| 120|  53|  87|  35| 110|PREDICCIÓN  |MUDAR       |CARAMELORARO (common)
107|HITMONCHAN|FIGHTING         |  50| 105|  79|  76|  35| 110|MENOS       |(?)         |BAYA PERASI (common), MT22 (rare)
108|LICKITUNG |NORMAL           |  90|  55|  75|  30|  60|  75|IMPULSO     |(?)         |ÉTER MÁX. (common), BAYA MELOC (rare)
109|KOFFING   |POISON           |  40|  65|  95|  35|  60|  45|VISTA LINCE |(?)         |
110|WEEZING   |POISON           |  65|  90| 120|  60|  85|  70|OJOCOMPUESTO|RASTRO      |REV.METÁLICO (100%)
