--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF| SPE|SATK|SDEF|ABILITY1    |ABILITY2    |ITEM
  1|BULBASAUR |GRASS/POISON     |  45|  49|  49|  45|  65|  65|Irascible   |Aclimatación|
  2|IVYSAUR   |GRASS/POISON     |  60|  62|  63|  60|  80|  80|Bucle Aire  |Ignorante   |
  3|VENUSAUR  |GRASS/POISON     |  80|  82|  83|  80| 100| 100|Potencia    | -          |
  4|CHARMANDER|FIRE             |  39|  52|  43|  65|  60|  50|Afortunado  | -          |
  5|CHARMELEON|FIRE             |  58|  64|  58|  80|  80|  65|Cabeza Roca | -          |
  6|CHARIZARD |FIRE/FLYING      |  78|  84|  78| 100| 109|  85|Corte Fuerte|Descarga    |
  7|SQUIRTLE  |WATER            |  44|  48|  65|  43|  50|  64|Ausente     |Nado Rápido |
  8|WARTORTLE |WATER            |  59|  63|  80|  58|  65|  80|Flexibilidad|Caparazón   |
  9|BLASTOISE |WATER            |  79|  83| 100|  78|  85| 105|Ritmo Propio| -          |
 10|CATERPIE  |BUG              |  45|  30|  35|  45|  20|  20|Resquicio   |Polvo Escudo|
 11|METAPOD   |BUG              |  50|  20|  55|  30|  25|  25|Irascible   | -          |
 12|BUTTERFREE|BUG/FLYING       |  60|  45|  50|  70|  80|  80|Irascible   | -          |Polvo Plata (rare)
 13|WEEDLE    |BUG/POISON       |  40|  35|  30|  50|  20|  20|Rivalidad   |Alerta      |
 14|KAKUNA    |BUG/POISON       |  45|  25|  50|  35|  25|  25|Punto Tóxico| -          |
 15|BEEDRILL  |BUG/POISON       |  65|  80|  40|  75|  45|  80|Clorofila   |Impasible   |Flecha Ven. (rare)
 16|PIDGEY    |NORMAL/FLYING    |  40|  45|  40|  56|  35|  35|Colector    | -          |
 17|PIDGEOTTO |NORMAL/FLYING    |  63|  60|  55|  71|  50|  50|Ritmo Propio| -          |
 18|PIDGEOT   |NORMAL/FLYING    |  83|  80|  75|  91|  70|  70|Poder Solar | -          |
 19|RATTATA   |NORMAL           |  30|  56|  35|  72|  25|  35|Ausente     |Ventosas    |Baya Chilan (rare)
 20|RATICATE  |NORMAL           |  55|  81|  60|  97|  50|  70|Energía Pura|Filtro      |Baya Chilan (rare)
 21|SPEAROW   |NORMAL/FLYING    |  40|  60|  30|  70|  31|  31|Encadenado  | -          |
 22|FEAROW    |NORMAL/FLYING    |  65|  90|  65| 100|  61|  61|Chorro Arena| -          |Pico Afilado (rare)
 23|EKANS     |POISON           |  35|  60|  44|  55|  40|  54|Pararrayos  |Velo Arena  |
 24|ARBOK     |POISON           |  60|  85|  69|  80|  65|  79|Nado Rápido |Ignorante   |
 25|PIKACHU   |ELECTRIC         |  35|  55|  30|  90|  50|  40|Dicha       | -          |Baya Aranja (common), Bolaluminosa (rare)
 26|RAICHU    |ELECTRIC         |  60|  90|  55| 100|  90|  80|Aclimatación| -          |Baya Aranja (rare)
 27|SANDSHREW |GROUND           |  50|  75|  85|  40|  20|  30|Irascible   | -          |Garra Rápida (rare)
 28|SANDSLASH |GROUND           |  75| 100| 110|  65|  45|  55|Ritmo Propio| -          |Garra Rápida (rare)
 29|NIDORAN  |POISON           |  55|  47|  52|  41|  40|  40|Flexibilidad| -          |
 30|NIDORINA  |POISON           |  70|  62|  67|  56|  55|  55|Levitación  | -          |
 31|NIDOQUEEN |POISON/GROUND    |  90|  82|  87|  76|  75|  85|Recogemiel  |Potencia    |
 32|NIDORAN  |POISON           |  46|  57|  40|  50|  40|  40|Piel Seca   |Potencia    |
 33|NIDORINO  |POISON           |  61|  72|  57|  65|  55|  55|Intrépido   | -          |
 34|NIDOKING  |POISON/GROUND    |  81|  92|  77|  85|  85|  75|Energía Pura|Normalidad  |
 35|CLEFAIRY  |NORMAL           |  70|  45|  48|  35|  60|  65|Sequía      |Escama Esp. |Baya Zanama (common), Piedra Lunar (rare)
 36|CLEFABLE  |NORMAL           |  95|  70|  73|  60|  85|  90|Ignífugo    |Trampa Arena|Baya Zanama (common), Piedra Lunar (rare)
 37|VULPIX    |FIRE             |  38|  41|  40|  65|  50|  65|Hedor       |Anticipación|Baya Safre (100%)
 38|NINETALES |FIRE             |  73|  76|  75| 100|  81| 100|Alerta      |Hidratación |Baya Safre (100%)
 39|JIGGLYPUFF|NORMAL           | 115|  45|  20|  20|  45|  25|Cuerpo Llama| -          |
 40|WIGGLYTUFF|NORMAL           | 140|  70|  45|  45|  75|  50|Bucle Aire  |Encadenado  |
 41|ZUBAT     |POISON/FLYING    |  40|  45|  35|  55|  30|  40|Pararrayos  | -          |
 42|GOLBAT    |POISON/FLYING    |  75|  80|  70|  90|  65|  75|Lodo Líquido| -          |
 43|ODDISH    |GRASS/POISON     |  45|  50|  55|  30|  75|  65|Ignífugo    | -          |
 44|GLOOM     |GRASS/POISON     |  60|  65|  70|  40|  85|  75|Fuga        | -          |
 45|VILEPLUME |GRASS/POISON     |  75|  80|  85|  50| 100|  90|Defensa Hoja| -          |
 46|PARAS     |BUG/GRASS        |  35|  70|  55|  25|  45|  55|Mar Llamas  | -          |Mini Seta (common), Seta Grande (rare)
 47|PARASECT  |BUG/GRASS        |  60|  95|  80|  30|  60|  80|Potencia    |Flexibilidad|Mini Seta (common), Seta Grande (rare)
 48|VENONAT   |BUG/POISON       |  60|  55|  50|  45|  40|  55|Piel Seca   | -          |
 49|VENOMOTH  |BUG/POISON       |  70|  65|  60|  90|  90|  75|Lodo Líquido| -          |Muda Concha (rare)
 50|DIGLETT   |GROUND           |  10|  55|  25|  95|  35|  45|Gran Encanto|Poder Solar |Arena Fina (rare)
 51|DUGTRIO   |GROUND           |  35|  80|  50| 120|  50|  70|Descarga    | -          |Arena Fina (rare)
 52|MEOWTH    |NORMAL           |  40|  45|  35|  90|  40|  40|Trampa Arena| -          |Garra Rápida (rare)
 53|PERSIAN   |NORMAL           |  65|  70|  60| 115|  65|  65|Menos       | -          |Garra Rápida (rare)
 54|PSYDUCK   |WATER            |  50|  52|  48|  55|  65|  50|Nevada      | -          |
 55|GOLDUCK   |WATER            |  80|  82|  78|  85|  95|  80|Fuga        | -          |
 56|MANKEY    |FIGHTING         |  40|  80|  35|  70|  35|  45|Flexibilidad|Velo Agua   |Baya Payapa (rare)
 57|PRIMEAPE  |FIGHTING         |  65| 105|  60|  95|  60|  70|Absor. Agua | -          |Baya Payapa (rare)
 58|GROWLITHE |FIRE             |  55|  70|  45|  60|  70|  50|Hidratación |Adaptable   |Baya Safre (100%)
 59|ARCANINE  |FIRE             |  90| 110|  80|  95| 100|  80|Ausente     | -          |Baya Safre (100%)
 60|POLIWAG   |WATER            |  40|  50|  40|  90|  40|  40|Sebo        | -          |
 61|POLIWHIRL |WATER            |  65|  65|  65|  90|  50|  50|Foco Interno| -          |Roca del Rey (rare)
 62|POLIWRATH |WATER/FIGHTING   |  90|  85|  95|  70|  70|  90|Fuga        |Lodo Líquido|Roca del Rey (rare)
 63|ABRA      |PSYCHIC          |  25|  20|  15|  90| 105|  55|Nado Rápido | -          |Cuchara Tor (rare)
 64|KADABRA   |PSYCHIC          |  40|  35|  30| 105| 120|  70|Armad. Bat. | -          |Cuchara Tor (rare)
 65|ALAKAZAM  |PSYCHIC          |  55|  50|  45| 120| 135|  85|Piel Tosca  | -          |Cuchara Tor (rare)
 66|MACHOP    |FIGHTING         |  70|  80|  50|  35|  35|  35|Escudo Magma|Ventosas    |
 67|MACHOKE   |FIGHTING         |  80| 100|  70|  45|  50|  60|Efec. Espora| -          |
 68|MACHAMP   |FIGHTING         |  90| 130|  80|  55|  65|  85|Simple      |Roca Sólida |
 69|BELLSPROUT|GRASS/POISON     |  50|  75|  35|  40|  70|  30|Encadenado  |Mal Sueño   |
 70|WEEPINBELL|GRASS/POISON     |  65|  90|  50|  55|  85|  45|Antídoto    |Mudar       |
 71|VICTREEBEL|GRASS/POISON     |  80| 105|  65|  70| 100|  60|Hidratación | -          |
 72|TENTACOOL |WATER/POISON     |  40|  40|  35|  70|  50| 100|Cuerpo Llama| -          |Flecha Ven. (rare)
 73|TENTACRUEL|WATER/POISON     |  80|  70|  65| 100|  80| 120|Polvo Escudo|Ritmo Propio|Flecha Ven. (rare)
 74|GEODUDE   |ROCK/GROUND      |  40|  80| 100|  20|  30|  30|Escudo Magma| -          |Piedraeterna (rare)
 75|GRAVELER  |ROCK/GROUND      |  55|  95| 115|  35|  45|  45|Cambio Color|Adaptable   |Piedraeterna (rare)
 76|GOLEM     |ROCK/GROUND      |  80| 110| 130|  45|  55|  65|Predicción  |Gran Encanto|Piedraeterna (rare)
 77|PONYTA    |FIRE             |  50|  85|  55|  90|  65|  65|Mal Sueño   |Levitación  |Baya Acardo (rare)
 78|RAPIDASH  |FIRE             |  65| 100|  70| 105|  80|  80|Normalidad  |Impulso     |Baya Acardo (rare)
 79|SLOWPOKE  |WATER/PSYCHIC    |  90|  65|  65|  15|  40|  40|Efec. Espora| -          |Cola Plúmbea (rare)
 80|SLOWBRO   |WATER/PSYCHIC    |  95|  75| 110|  30| 100|  80|Viscosidad  | -          |Roca del Rey (rare)
 81|MAGNEMITE |ELECTRIC/STEEL   |  25|  35|  70|  45|  95|  55|Cromolente  |Dicha       |Rev.metálico (rare)
 82|MAGNETON  |ELECTRIC/STEEL   |  50|  60|  95|  70| 120|  70|Cuerpo Llama|Pararrayos  |Rev.metálico (rare)
 83|FARFETCH’D|NORMAL/FLYING    |  52|  65|  55|  60|  58|  62|Caparazón   |Irascible   |Palo (rare)
 84|DODUO     |NORMAL/FLYING    |  35|  85|  45|  75|  35|  35|Defensa Hoja|Rivalidad   |Pico Afilado (rare)
 85|DODRIO    |NORMAL/FLYING    |  60| 110|  70| 100|  60|  60|Foco Interno|Piel Tosca  |Pico Afilado (rare)
 86|SEEL      |WATER            |  65|  45|  55|  45|  45|  70|Escudo Magma|Filtro      |
 87|DEWGONG   |WATER/ICE        |  90|  70|  80|  70|  70|  95|Sombratrampa| -          |
 88|GRIMER    |POISON           |  80|  80|  50|  25|  40|  50|Vista Lince | -          |Pepita (rare)
 89|MUK       |POISON           | 105| 105|  75|  50|  65| 100|Impulso     | -          |Pepita (rare)
 90|SHELLDER  |WATER            |  30|  65| 100|  40|  45|  25|Audaz       | -          |Perla (common), Perla Grande (rare)
 91|CLOYSTER  |WATER/ICE        |  50|  95| 180|  70|  85|  45|Más         |Mudar       |Perla (common), Perla Grande (rare)
 92|GASTLY    |GHOST/POISON     |  30|  35|  30|  80| 100|  35|Cambio Color|Indefenso   |
 93|HAUNTER   |GHOST/POISON     |  45|  50|  45|  95| 115|  55|Gran Encanto|Manto Níveo |
 94|GENGAR    |GHOST/POISON     |  60|  65|  60| 110| 130|  75|Descarga    | -          |
 95|ONIX      |ROCK/GROUND      |  35|  45| 160|  70|  30|  45|Piel Tosca  | -          |
 96|DROWZEE   |PSYCHIC          |  60|  48|  45|  42|  43|  90|Clorofila   |Defensa Hoja|
 97|HYPNO     |PSYCHIC          |  85|  73|  70|  67|  73| 115|Defensa Hoja| -          |
 98|KRABBY    |WATER            |  30| 105|  90|  50|  25|  25|Cura Natural|Irascible   |
 99|KINGLER   |WATER            |  55| 130| 115|  75|  50|  50|Nado Rápido | -          |
100|VOLTORB   |ELECTRIC         |  40|  30|  50| 100|  55|  55|Enjambre    |Defensa Hoja|
101|ELECTRODE |ELECTRIC         |  60|  50|  70| 140|  80|  80|Presión     | -          |
102|EXEGGCUTE |GRASS/PSYCHIC    |  60|  40|  80|  40|  60|  45|Espesura    |Corte Fuerte|
103|EXEGGUTOR |GRASS/PSYCHIC    |  95|  95|  85|  55| 125|  65|Enjambre    |Cromolente  |
104|CUBONE    |GROUND           |  50|  50|  95|  35|  40|  50|Antídoto    |Vista Lince |Hueso Grueso (rare)
105|MAROWAK   |GROUND           |  60|  80| 110|  45|  50|  80|Velo Arena  | -          |Hueso Grueso (rare)
106|HITMONLEE |FIGHTING         |  50| 120|  53|  87|  35| 110|Punto Tóxico|Recogemiel  |
107|HITMONCHAN|FIGHTING         |  50| 105|  79|  76|  35| 110|Absor. Agua |Experto     |
108|LICKITUNG |NORMAL           |  90|  55|  75|  30|  60|  75|Foco Interno|Audaz       |Cola Plúmbea (rare)
109|KOFFING   |POISON           |  40|  65|  95|  35|  60|  45|Espesura    |Manto Níveo |Bola Humo (rare)
110|WEEZING   |POISON           |  65|  90| 120|  60|  85|  70|Viscosidad  |Madrugar    |Bola Humo (rare)
111|RHYHORN   |GROUND/ROCK      |  80|  85|  95|  25|  30|  30|Robustez    |Pies Rápidos|
112|RHYDON    |GROUND/ROCK      | 105| 130| 120|  40|  45|  45|Vista Lince |Ignífugo    |
113|CHANSEY   |NORMAL           | 250|   5|   5|  50|  35| 105|Efec. Espora| -          |Piedra Oval (common), Huevo Suerte (rare)
114|TANGELA   |GRASS            |  65|  55| 115|  60| 100|  40|Cura Natural|Pies Rápidos|
115|KANGASKHAN|NORMAL           | 105|  95|  80|  90|  40|  80|Electromotor|Hedor       |
116|HORSEA    |WATER            |  30|  40|  70|  60|  70|  25|Electromotor|Espír. Vital|Escamadragón (rare)
117|SEADRA    |WATER            |  55|  65|  95|  85|  95|  45|Presión     | -          |Escamadragón (rare)
118|GOLDEEN   |WATER            |  45|  67|  60|  63|  35|  50|Indefenso   |Cura Natural|
119|SEAKING   |WATER            |  80|  92|  65|  68|  65|  80|Sebo        | -          |
120|STARYU    |WATER            |  30|  45|  55|  85|  70|  55|Insonorizar |Bucle Aire  |Polvoestelar (common), Tr. Estrella (rare)
121|STARMIE   |WATER/PSYCHIC    |  60|  75|  85| 115| 100|  85|Mudar       | -          |Polvoestelar (common), Tr. Estrella (rare)
122|MR. MIME  |PSYCHIC          |  40|  45|  65|  90| 100| 120|Agallas     |Tumbos      |Baya Zanama (rare)
123|SCYTHER   |BUG/FLYING       |  70| 110|  80| 105|  55|  80|Electromotor| -          |
124|JYNX      |ICE/PSYCHIC      |  65|  50|  35|  95| 115|  95|Presión     | -          |Baya Perasi (100%)
125|ELECTABUZZ|ELECTRIC         |  65|  83|  57| 105|  95|  85|Agallas     |Indefenso   |Electrizador (rare)
126|MAGMAR    |FIRE             |  65|  95|  57|  93| 100|  85|Ritmo Propio| -          |Magmatizador (rare)
127|PINSIR    |BUG              |  65| 125| 100|  85|  55|  70|Despiste    | -          |
128|TAUROS    |NORMAL           |  75| 100|  95| 110|  40|  70|Bucle Aire  | -          |
129|MAGIKARP  |WATER            |  20|  10|  55|  80|  15|  20|Intrépido   | -          |
130|GYARADOS  |WATER/FLYING     |  95| 125|  79|  81|  60| 100|Robustez    |Absor. Fuego|
131|LAPRAS    |WATER/ICE        | 130|  85|  80|  60|  85|  95|Punto Tóxico| -          |
