--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF| SPE|SATK|SDEF|ABILITY1    |ABILITY2    |ITEM
  1|BULBASAUR |GRASS/POISON     |  45|  49|  49|  45|  65|  65|Francotirad.|Muro Mágico |
  2|IVYSAUR   |GRASS/POISON     |  60|  62|  63|  60|  80|  80|Gula        |Cabeza Roca |
  3|VENUSAUR  |GRASS/POISON     |  80|  82|  83|  80| 100| 100|Adaptable   | -          |
  4|CHARMANDER|FIRE             |  39|  52|  43|  65|  60|  50|Predicción  |Dicha       |
  5|CHARMELEON|FIRE             |  58|  64|  58|  80|  80|  65|Energía Pura| -          |
  6|CHARIZARD |FIRE/FLYING      |  78|  84|  78| 100| 109|  85|Piel Seca   |Impasible   |
  7|SQUIRTLE  |WATER            |  44|  48|  65|  43|  50|  64|Espesura    |Bucle Aire  |
  8|WARTORTLE |WATER            |  59|  63|  80|  58|  65|  80|Lodo Líquido|Defensa Hoja|
  9|BLASTOISE |WATER            |  79|  83| 100|  78|  85| 105|Espír. Vital|Cuerpo Llama|
 10|CATERPIE  |BUG              |  45|  30|  35|  45|  20|  20|Tumbos      |Más         |
 11|METAPOD   |BUG              |  50|  20|  55|  30|  25|  25|Encadenado  | -          |
 12|BUTTERFREE|BUG/FLYING       |  60|  45|  50|  70|  80|  80|Iluminación |Intrépido   |Polvo Plata (rare)
 13|WEEDLE    |BUG/POISON       |  40|  35|  30|  50|  20|  20|Nado Rápido | -          |
 14|KAKUNA    |BUG/POISON       |  45|  25|  50|  35|  25|  25|Hedor       | -          |
 15|BEEDRILL  |BUG/POISON       |  65|  80|  40|  75|  45|  80|Piel Seca   |Electromotor|Flecha Ven. (rare)
 16|PIDGEY    |NORMAL/FLYING    |  40|  45|  40|  56|  35|  35|Cura Lluvia | -          |
 17|PIDGEOTTO |NORMAL/FLYING    |  63|  60|  55|  71|  50|  50|Experto     |Rezagado    |
 18|PIDGEOT   |NORMAL/FLYING    |  83|  80|  75|  91|  70|  70|Tumbos      | -          |
 19|RATTATA   |NORMAL           |  30|  56|  35|  72|  25|  35|Irascible   |Cuerpo Llama|Baya Chilan (rare)
 20|RATICATE  |NORMAL           |  55|  81|  60|  97|  50|  70|Impulso     | -          |Baya Chilan (rare)
 21|SPEAROW   |NORMAL/FLYING    |  40|  60|  30|  70|  31|  31|Ignífugo    |Piel Seca   |
 22|FEAROW    |NORMAL/FLYING    |  65|  90|  65| 100|  61|  61|Humo Blanco | -          |Pico Afilado (rare)
 23|EKANS     |POISON           |  35|  60|  44|  55|  40|  54|Mar Llamas  | -          |
 24|ARBOK     |POISON           |  60|  85|  69|  80|  65|  79|Ausente     | -          |
 25|PIKACHU   |ELECTRIC         |  35|  55|  30|  90|  50|  40|Polvo Escudo|Dicha       |Baya Aranja (common), Bolaluminosa (rare)
 26|RAICHU    |ELECTRIC         |  60|  90|  55| 100|  90|  80|Madrugar    | -          |Baya Aranja (rare)
 27|SANDSHREW |GROUND           |  50|  75|  85|  40|  20|  30|Espír. Vital| -          |Garra Rápida (rare)
 28|SANDSLASH |GROUND           |  75| 100| 110|  65|  45|  55|Mar Llamas  |Sequía      |Garra Rápida (rare)
 29|NIDORAN♀  |POISON           |  55|  47|  52|  41|  40|  40|Electromotor| -          |
 30|NIDORINA  |POISON           |  70|  62|  67|  56|  55|  55|Flexibilidad|Liviano     |
 31|NIDOQUEEN |POISON/GROUND    |  90|  82|  87|  76|  75|  85|Viscosidad  | -          |
 32|NIDORAN♂  |POISON           |  46|  57|  40|  50|  40|  40|Ritmo Propio| -          |
 33|NIDORINO  |POISON           |  61|  72|  57|  65|  55|  55|Enjambre    |Trampa Arena|
 34|NIDOKING  |POISON/GROUND    |  81|  92|  77|  85|  85|  75|Recogemiel  | -          |
 35|CLEFAIRY  |NORMAL           |  70|  45|  48|  35|  60|  65|Enjambre    |Sombratrampa|Baya Zanama (common), Piedra Lunar (rare)
 36|CLEFABLE  |NORMAL           |  95|  70|  73|  60|  85|  90|Cromolente  |Foco Interno|Baya Zanama (common), Piedra Lunar (rare)
 37|VULPIX    |FIRE             |  38|  41|  40|  65|  50|  65|Iluminación |Descarga    |Baya Safre (100%)
 38|NINETALES |FIRE             |  73|  76|  75| 100|  81| 100|Zoquete     |Polvo Escudo|Baya Safre (100%)
 39|JIGGLYPUFF|NORMAL           | 115|  45|  20|  20|  45|  25|Torrente    |Gélido      |
 40|WIGGLYTUFF|NORMAL           | 140|  70|  45|  45|  75|  50|Trampa Arena| -          |
 41|ZUBAT     |POISON/FLYING    |  40|  45|  35|  55|  30|  40|Recogida    | -          |
 42|GOLBAT    |POISON/FLYING    |  75|  80|  70|  90|  65|  75|Multitipo   | -          |
 43|ODDISH    |GRASS/POISON     |  45|  50|  55|  30|  75|  65|Cuerpo Puro |Gélido      |
 44|GLOOM     |GRASS/POISON     |  60|  65|  70|  40|  85|  75|Potencia    |Torrente    |
 45|VILEPLUME |GRASS/POISON     |  75|  80|  85|  50| 100|  90|Afortunado  | -          |
 46|PARAS     |BUG/GRASS        |  35|  70|  55|  25|  45|  55|Pararrayos  | -          |Mini Seta (common), Seta Grande (rare)
 47|PARASECT  |BUG/GRASS        |  60|  95|  80|  30|  60|  80|Intrépido   | -          |Mini Seta (common), Seta Grande (rare)
 48|VENONAT   |BUG/POISON       |  60|  55|  50|  45|  40|  55|Hedor       |Cuerpo Puro |
 49|VENOMOTH  |BUG/POISON       |  70|  65|  60|  90|  90|  75|Llovizna    |Defensa Hoja|Muda Concha (rare)
 50|DIGLETT   |GROUND           |  10|  55|  25|  95|  35|  45|Presión     | -          |Arena Fina (rare)
